Time,x,y,z
04-06-2024 11:35:06,1.5990001, 3.01095, 9.324
04-06-2024 11:35:17,0.85200006, 2.3710501, 9.559051
04-06-2024 11:35:27,5.7259502, -7.905, 2.331
04-06-2024 11:36:04,7.2970505, -6.7170005, 0.91305006
04-06-2024 11:36:49,5.1199503, -4.1779504, 1.9450501
04-06-2024 11:37:54,4.0999503, -2.2429502, -0.00795
04-06-2024 11:38:13,8.35305, -3.6319501, 2.12505
04-06-2024 11:40:16,8.99295, -3.177, 0.81195
04-06-2024 11:40:29,8.76, -3.6349502, 1.6530001
04-06-2024 11:41:48,11.380051, -2.7150002, 0.57795
04-06-2024 11:43:26,9.13395, -3.46005, 1.9069501
04-06-2024 11:43:36,5.604, -3.1270502, 2.84805
04-06-2024 11:43:55,2.95005, -5.17005, 3.2269502
04-06-2024 11:44:54,-2.31795, 7.0030503, 1.488
04-06-2024 11:45:51,-0.0139500005, 0.076950006, 9.846001
04-06-2024 11:46:01,-0.0019500001, 0.096, 9.861
04-06-2024 11:47:52,-0.016050002, 0.10305001, 9.861
04-06-2024 11:49:56,-0.03795, 0.097950004, 9.825001
04-06-2024 11:50:17,-0.040050004, 0.132, 9.849001
04-06-2024 11:51:02,-0.081, 0.12705001, 9.82995
04-06-2024 11:51:14,3.24705, -1.9530001, 9.87495
04-06-2024 11:51:24,0.112050004, 0.18195, 9.82995
04-06-2024 11:52:05,0.094950005, 0.18900001, 9.849001
04-06-2024 11:52:36,-0.049950004, -0.06795, -9.98805
04-06-2024 11:53:08,-0.057000004, -0.07305, -9.98595
04-06-2024 11:58:51,-6.2580004, -10.29705, 6.46005
04-06-2024 12:02:15,0.17400001, 0.15795001, 9.8220005
04-06-2024 12:05:22,0.16695, 0.14895001, 9.813001
04-06-2024 12:05:32,0.18105, 0.15300001, 9.802951
04-06-2024 12:06:26,0.17205001, 0.18495001, 9.814951
04-06-2024 12:06:51,0.15495001, 0.14400001, 9.8220005
04-06-2024 12:08:02,0.15495001, 0.16305001, 9.80595
04-06-2024 12:12:11,0.15495001, 0.15795001, 9.757951
04-06-2024 12:12:22,0.186, 0.15300001, 9.84405
04-06-2024 12:17:46,0.12900001, 6.2419505, 6.93195
04-06-2024 12:17:56,1.1869501, 7.34595, 6.57
04-06-2024 12:18:16,0.588, 6.8040004, 7.0729504
04-06-2024 12:18:35,1.21605, 7.21605, 6.62295
04-06-2024 12:19:01,-0.52695, 6.2509503, 7.34805
04-06-2024 12:19:21,-0.28500003, 6.21495, 7.72695
04-06-2024 12:19:47,2.8300502, 6.37095, 6.6870003
04-06-2024 12:20:56,0.41400003, 6.2100005, 7.662
04-06-2024 12:21:19,0.55995005, 6.5479503, 7.2190504
04-06-2024 12:21:50,0.53295004, 6.3040504, 7.5160503
04-06-2024 12:22:27,0.79005, 7.4610004, 6.6060004
04-06-2024 12:23:34,0.74205005, 6.0280504, 7.38705
04-06-2024 12:23:53,0.09, 5.6860504, 7.9210505
04-06-2024 12:24:17,0.44505003, 5.5350003, 8.056951
04-06-2024 12:25:22,-0.14295001, 6.6730504, 7.0150504
04-06-2024 12:25:36,1.041, 6.0040503, 7.5880504
04-06-2024 12:25:56,0.39000002, 6.4830003, 7.2190504
04-06-2024 12:26:54,-0.19395001, 6.5190005, 7.3680005
04-06-2024 12:27:16,-0.63405, 5.8890004, 7.7650504
04-06-2024 12:27:30,-0.402, 5.406, 8.10795
04-06-2024 12:27:41,0.17895001, 6.57, 7.1950502
04-06-2024 12:28:00,0.07395, 6.84, 7.1179504
04-06-2024 12:28:32,0.20805001, 6.8689504, 6.9600005
04-06-2024 12:29:02,0.91395, 5.44605, 8.17905
04-06-2024 12:29:31,-0.34500003, 7.293, 6.26805
04-06-2024 12:30:01,-0.40695003, 6.591, 7.2790504
04-06-2024 12:30:18,0.010950001, 7.97805, 5.6070004
04-06-2024 12:30:30,0.165, 6.76095, 7.0129504
04-06-2024 12:30:57,0.24795002, 6.43305, 7.425
04-06-2024 12:31:09,0.86595005, 6.3829503, 8.09805
04-06-2024 12:32:37,-1.09695, 6.18195, 7.4869504
04-06-2024 12:32:53,-1.48905, 5.4079504, 7.7320504
04-06-2024 12:33:20,-0.94605005, 5.4700503, 8.080951
04-06-2024 12:33:39,-0.75900006, 6.4789505, 7.2310505
04-06-2024 12:33:56,0.045, 6.46395, 7.2649503
04-06-2024 12:34:14,-0.22995001, 6.294, 7.497
04-06-2024 12:34:24,-0.37800002, 7.00995, 6.7570505
04-06-2024 12:35:38,-0.51495004, 6.4069505, 7.1950502
04-06-2024 12:36:06,-1.0200001, 6.7320004, 6.81195
04-06-2024 12:36:17,-0.93105006, 5.7000003, 8.035951
04-06-2024 12:36:48,-0.71595, 5.85405, 7.6909504
04-06-2024 12:37:02,-1.1590501, 5.9830503, 7.8109503
04-06-2024 12:37:32,-0.54795, 6.3520503, 7.3440003
04-06-2024 12:38:08,-0.84495, 6.13395, 7.66905
04-06-2024 12:38:29,0.38700002, 6.5170503, 6.6850505
04-06-2024 12:38:50,-0.73695004, 6.1770005, 7.4610004
04-06-2024 12:39:22,-0.112050004, 5.9160004, 7.7770505
04-06-2024 12:39:36,-0.37095, 6.0880504, 7.6840506
04-06-2024 12:40:14,-0.70605004, 4.51905, 8.505
04-06-2024 12:40:27,-1.21395, 5.82705, 7.75995
04-06-2024 12:40:43,-0.91200006, 6.08295, 7.5280504
04-06-2024 12:41:02,-0.22695, 7.0800004, 6.714
04-06-2024 12:41:26,-0.80895007, 5.3050504, 8.184
04-06-2024 12:42:27,-1.40295, 9.766951, 0.051000003
04-06-2024 12:43:15,-2.42295, 9.4800005, -0.22395001
04-06-2024 12:43:43,-4.27995, 8.698951, 0.68505
04-06-2024 12:44:15,-2.05905, 9.592051, -0.85605
04-06-2024 12:45:45,0.84705, 9.741, -0.37695003
04-06-2024 12:46:45,0.15, 9.69495, 1.251
04-06-2024 12:47:11,0.354, 9.69795, 0.99705005
04-06-2024 12:47:41,0.83505005, 9.633, 0.95100003
04-06-2024 12:47:57,0.91695005, 9.634951, 1.2430501
04-06-2024 12:48:24,0.9670501, 9.657001, 1.3369501
04-06-2024 12:48:37,0.88995004, 9.592051, 1.5880501
04-06-2024 12:49:01,1.434, 9.571051, 1.10895
04-06-2024 12:49:37,-0.47595003, 9.37395, 1.9860001
04-06-2024 12:49:55,0.85695004, 9.637951, 1.2360001
04-06-2024 12:50:10,1.125, 9.69795, 1.2580501
04-06-2024 12:50:44,1.3120501, 9.595051, 1.4299501
04-06-2024 12:50:55,1.48695, 9.66195, 0.70005006
04-06-2024 12:51:14,0.51900005, 9.559051, 1.4260501
04-06-2024 12:52:12,0.37095, 9.115951, 3.5670002
04-06-2024 12:52:25,0.20295002, 8.977051, 3.86805
04-06-2024 12:52:55,0.093, 0.23505001, 9.76305
04-06-2024 12:54:04,0.16695, 0.27105, 9.733951
04-06-2024 12:57:53,0.141, 0.25395, 9.739051
04-06-2024 12:58:03,0.14295001, 0.24705002, 9.748051
04-06-2024 12:58:16,0.17400001, 0.24000001, 9.741
04-06-2024 01:00:18,0.141, 0.24000001, 9.79605
04-06-2024 01:00:28,0.165, 0.25905, 9.837001
04-06-2024 01:02:39,-0.141, 0.120000005, -10.036051
04-06-2024 01:03:04,-0.10695001, 0.10095, -10.041
04-06-2024 01:04:59,-0.105000004, 0.093, -9.93105
04-06-2024 01:05:29,-0.12900001, 0.096, -9.9210005
04-06-2024 01:09:44,-0.141, 0.096, -10.05
04-06-2024 01:10:33,-0.12900001, 0.08595, -10.015051
04-06-2024 01:16:23,-0.14295001, 0.093, -10.012051
04-06-2024 01:17:54,-0.15105, 0.109950006, -10.041
04-06-2024 01:20:32,-0.17205001, 0.09105001, -10.05
04-06-2024 01:20:44,-0.19605, 0.105000004, -10.009951
04-06-2024 01:29:37,-3.4369502, 4.5220504, 5.169
04-06-2024 01:29:51,-0.17205001, 4.00005, 8.99895
04-06-2024 01:30:02,-0.73005, 5.7049503, 7.6069503
04-06-2024 01:32:14,0.066, 0.15105, -9.934951
04-06-2024 01:33:09,-4.701, 2.568, 6.7639503
04-06-2024 01:33:24,0.30105, -0.079950005, -9.04695
04-06-2024 01:34:06,0.030000001, 0.13905, -9.969001
04-06-2024 01:34:19,0.12105001, 0.29205, 9.733951
04-06-2024 01:34:32,0.109050006, 0.27105, 9.7890005
04-06-2024 01:34:54,0.17205001, 0.27600002, 9.798
04-06-2024 01:35:10,0.12900001, 0.28005, 9.80595
04-06-2024 01:35:20,0.165, 0.23700002, 9.834001
04-06-2024 01:35:37,0.15, 0.27795002, 9.70695
04-06-2024 01:35:55,0.15300001, 0.261, 9.837001
04-06-2024 01:36:05,0.15705001, 0.26595002, 9.802951
04-06-2024 01:36:24,0.16005, 0.24705002, 9.748051
04-06-2024 01:36:35,0.165, 0.25395, 9.74295
04-06-2024 01:38:00,7.52895, 4.21995, 4.80705
04-06-2024 01:38:34,-1.9399501, 1.07295, 8.72595
04-06-2024 01:41:14,0.19605, 0.252, 9.754951
04-06-2024 01:41:25,0.15705001, 0.25605002, 9.801001
04-06-2024 01:43:07,0.162, 0.24000001, 9.790951
04-06-2024 01:44:38,0.708, -0.09705, 14.016001
04-06-2024 01:44:48,1.37205, 3.1999502, 9.23805
04-06-2024 01:45:04,2.265, 2.5459502, 8.467051
04-06-2024 01:45:19,10.621051, -8.061001, -0.684
04-06-2024 01:45:43,4.341, -7.182, -2.8459501
04-06-2024 01:46:07,7.6590004, -0.21405001, -6.4099503
04-06-2024 01:48:05,-1.88505, -3.627, 9.13305
04-06-2024 01:48:24,14.415001, -6.2380505, -6.1800003
04-06-2024 01:48:41,9.61305, -10.338, 7.25505
04-06-2024 01:49:34,7.3980002, 3.0630002, 5.8159504
04-06-2024 01:49:45,1.5630001, 5.0779505, 8.479051
04-06-2024 01:49:59,0.483, 5.7070503, 8.068951
04-06-2024 01:50:20,6.4950004, 1.317, -7.6720505
04-06-2024 01:50:39,1.6369501, 5.14905, -10.893001
04-06-2024 01:51:08,0.52905005, -0.13800001, -6.9580503
04-06-2024 01:51:29,1.194, 0.90495, -9.913951
04-06-2024 01:54:51,1.05495, 2.01195, -9.118951
04-06-2024 01:55:30,7.0020003, -0.018000001, -11.511001
04-06-2024 01:55:45,1.24905, -0.66495, -7.9570503
04-06-2024 01:56:09,0.73695004, -0.08295, -8.23305
04-06-2024 02:00:24,0.84000003, 2.29005, -9.62895
04-06-2024 02:00:35,0.80205005, 2.24895, -9.61695
04-06-2024 02:00:46,0.85695004, 2.2470002, -9.588
04-06-2024 02:01:08,0.804, 2.2420502, -9.580951
04-06-2024 02:04:00,3.66105, 6.4950004, -10.10805
04-06-2024 02:04:32,0.028050002, -0.07095, 9.784051
04-06-2024 02:04:51,0.030000001, -0.07305, 9.814951
04-06-2024 02:05:16,9.073951, 0.105000004, 3.9619503
04-06-2024 02:05:37,9.07905, 0.097950004, 3.9640503
04-06-2024 02:06:08,9.031051, 0.12495001, 3.9379501
04-06-2024 02:06:50,9.0400505, 0.079050004, 3.9550502
04-06-2024 02:07:33,9.016951, 0.10095, 3.9499502
04-06-2024 02:08:24,9.009001, 0.112950005, 3.9570003
04-06-2024 02:09:32,9.012, 0.079050004, 3.9550502
04-06-2024 02:18:09,9.045, 0.105000004, 3.9739501
04-06-2024 02:19:36,9.057, 0.120000005, 3.969
04-06-2024 02:20:45,9.057, 0.109950006, 3.9739501
04-06-2024 02:22:23,9.049951, 0.10095, 3.9640503
04-06-2024 02:24:39,9.045, 0.108, 4.00005
04-06-2024 02:24:56,9.06, 0.105000004, 4.0219502
04-06-2024 02:25:16,2.4520502, 4.3180504, 4.32105
04-06-2024 02:26:26,-1.21905, 6.73995, 7.00605
04-06-2024 02:27:37,2.2429502, 5.13705, 8.21805
04-06-2024 02:27:53,0.076050006, 3.7390501, 9.5449505
04-06-2024 02:28:12,0.97905004, 3.8059502, 8.995951
04-06-2024 02:29:56,-0.79695004, 5.0869503, 8.11695
04-06-2024 02:30:07,2.53305, 4.93905, 7.9230003
04-06-2024 02:30:18,0.80205005, 5.07495, 8.42595
04-06-2024 02:30:29,3.35505, 2.1649501, 8.124001
04-06-2024 02:31:08,3.903, -8.868, 0.85800004
04-06-2024 02:34:10,-0.060000002, -9.699, 1.5000001
04-06-2024 02:35:51,-0.105000004, -9.700951, 0.97305006
04-06-2024 02:38:38,0.37995002, -9.4810505, 2.11995
04-06-2024 02:39:32,7.7400002, -5.89305, -1.9770001
04-06-2024 02:42:05,8.104051, -5.03595, -2.49195
04-06-2024 02:50:49,-0.44805002, -9.688951, 1.521
04-06-2024 02:53:27,3.65895, -8.532001, 3.2650502
04-06-2024 02:58:20,5.367, -8.2570505, -0.28395
04-06-2024 03:00:16,1.5700501, -9.03495, 3.35595
04-06-2024 03:02:06,8.401051, -0.79200006, 1.4610001
04-06-2024 03:02:59,5.34705, 7.6140003, -3.2389503
04-06-2024 03:04:02,7.2630005, 6.2029505, -2.913
04-06-2024 03:04:30,6.55905, 7.2430506, -1.31805
04-06-2024 03:04:40,7.8930006, 5.4540005, -0.51105005
04-06-2024 03:05:16,6.7219505, 6.9889503, -2.45595
04-06-2024 03:05:37,6.43695, 7.0939503, -2.5780501
04-06-2024 03:06:08,6.91095, 6.5839505, -2.4150002
04-06-2024 03:07:10,5.8960505, 5.9040003, -5.36595
04-06-2024 03:07:37,0.23595001, 1.2100501, -9.969001
04-06-2024 03:07:49,-1.0390501, 0.90795004, -9.81105
04-06-2024 03:11:24,-1.55595, 0.92205006, -9.82995
04-06-2024 03:12:40,-1.542, 0.91005003, -9.78195
04-06-2024 03:17:35,-1.55595, 0.90795004, -9.81795
04-06-2024 03:17:53,-1.5640501, 0.915, -9.79905
04-06-2024 03:22:43,-1.5780001, 0.915, -9.804001
04-06-2024 03:22:58,-1.6020001, 0.90495, -9.792001
04-06-2024 03:37:43,-1.59, 0.94095004, -9.835051
04-06-2024 03:38:07,-1.5829501, 0.90105003, -9.804001
04-06-2024 03:45:40,-1.5660001, 0.90300006, -9.816001
04-06-2024 03:52:42,-1.33095, 0.37905002, -9.90705
04-06-2024 03:52:52,-0.41895002, 0.441, 9.814951
04-06-2024 03:53:15,-0.21000001, 0.43395, 9.769951
04-06-2024 03:53:28,-0.22695, 0.41205, 9.769951
04-06-2024 03:54:15,-0.25395, 0.441, 9.739051
04-06-2024 03:54:27,-0.19095, 0.41400003, 9.81
04-06-2024 03:54:43,-0.18900001, 0.39495003, 9.85095
04-06-2024 03:55:36,-0.25605002, 0.41205, 9.727051
04-06-2024 04:00:34,-0.25095, 0.40995002, 9.78195
04-06-2024 04:00:44,-0.23895001, 0.39795002, 9.79395
04-06-2024 04:02:54,-0.27795002, 0.36195, 9.80805
04-06-2024 04:03:05,-0.26595002, 0.38595003, 9.7890005
04-06-2024 04:03:40,-0.22500001, 0.38295, 9.81795
04-06-2024 04:04:16,-0.25095, 0.381, 9.769951
