timestamp,Infrared to Red Signal Ratio
03/26/24 10:10:40,0
03/26/24 10:17:27,0
03/26/24 11:46:24,0
03/26/24 11:47:24,0
03/26/24 11:48:24,0
03/26/24 12:13:19,0
03/26/24 14:55:41,0
03/26/24 14:56:41,0
03/26/24 14:57:41,0
03/26/24 14:58:41,0
03/26/24 14:59:41,0
03/26/24 15:00:41,0
03/26/24 15:01:41,-17
03/26/24 15:02:41,0
03/26/24 15:03:41,28
03/26/24 15:04:41,0
03/26/24 15:05:41,35
03/26/24 15:06:41,0
03/26/24 15:07:41,7
03/26/24 15:08:41,-8
03/26/24 15:09:41,0
03/26/24 15:10:41,0
03/26/24 15:11:41,50
03/26/24 15:12:41,0
03/26/24 15:13:41,0
03/26/24 15:32:21,0
03/26/24 15:33:21,0
03/26/24 18:51:35,13
03/26/24 18:52:35,-2
03/26/24 18:53:35,0
03/26/24 18:54:35,-6
03/26/24 18:55:35,26
03/26/24 18:56:35,-9
03/26/24 18:57:35,-2
03/26/24 18:58:35,0
03/26/24 18:59:35,-7
03/26/24 19:00:35,-20
03/26/24 19:01:35,-4
03/26/24 19:02:35,0
03/26/24 19:03:35,-9
03/26/24 19:04:35,-14
03/26/24 19:05:35,0
03/26/24 19:06:35,36
03/26/24 19:07:35,-6
03/26/24 19:08:35,8
03/26/24 19:09:35,-15
03/26/24 19:10:35,-1
03/26/24 19:11:35,7
03/26/24 19:12:35,-2
03/26/24 19:13:35,2
03/26/24 19:14:35,-1
03/26/24 19:15:35,0
03/26/24 19:16:35,1
03/26/24 19:17:35,-47
03/26/24 19:18:35,0
03/26/24 19:19:35,-9
03/26/24 21:19:29,0
03/26/24 21:20:29,0
03/26/24 21:21:31,0
03/26/24 21:22:31,0
03/26/24 21:23:31,0
03/26/24 21:24:31,0
03/26/24 22:53:18,7
03/26/24 22:54:18,0
03/26/24 22:55:18,0
03/26/24 22:56:18,-24
03/26/24 22:57:18,3
03/26/24 22:58:18,-75
03/26/24 22:59:18,0
03/26/24 23:00:18,16
03/26/24 23:01:18,7
03/26/24 23:02:18,0
03/26/24 23:03:18,-9
03/26/24 23:04:18,8
03/26/24 23:05:18,-2
03/26/24 23:06:18,-3
03/26/24 23:07:18,-11
03/26/24 23:08:18,0
03/26/24 23:09:18,49
03/26/24 23:10:18,-21
03/26/24 23:11:18,0
03/26/24 23:12:18,-8
03/26/24 23:13:18,0
03/26/24 23:14:18,19
03/26/24 23:15:18,16
03/26/24 23:16:18,0
03/26/24 23:17:18,-5
03/26/24 23:18:18,-1
03/26/24 23:19:18,-6
03/26/24 23:20:18,-1
03/26/24 23:21:18,0
03/26/24 23:22:18,0
03/26/24 23:23:18,2
03/26/24 23:24:18,0
03/26/24 23:25:18,8
03/26/24 23:26:18,0
03/26/24 23:27:18,82
03/26/24 23:28:18,21
